run_id,command_id,command_text,category,difficulty,gold_label,model,schema_valid,semantic_score,semantic_failure_mode,rejected,execution_eligible,failure_mode,latency_ms
20260507T110646Z_C01_foundry:qwen2.5-coder-0.5b:cpu,C01,Pick up the medicine cup,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,wrong_object,True,False,semantic_mismatch,2675
20260507T110646Z_C02_foundry:qwen2.5-coder-0.5b:cpu,C02,Place the pill box on the tray,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,2442
20260507T110646Z_C03_foundry:qwen2.5-coder-0.5b:cpu,C03,Move the gauze pack to the left zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,2541
20260507T110646Z_C04_foundry:qwen2.5-coder-0.5b:cpu,C04,Pick up the pill box,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,1.0,exact_match,False,True,,2614
20260507T110646Z_C05_foundry:qwen2.5-coder-0.5b:cpu,C05,Place the medicine cup in the handover zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,2459
20260507T110646Z_C06_foundry:qwen2.5-coder-0.5b:cpu,C06,Open the gripper,robot_control,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,1.0,exact_match,False,True,,2190
20260507T110646Z_C07_foundry:qwen2.5-coder-0.5b:cpu,C07,Reset the robot,robot_control,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,1.0,exact_match,False,True,,1815
20260507T110646Z_C08_foundry:qwen2.5-coder-0.5b:cpu,C08,Describe the scene,scene_query,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,1.0,exact_match,False,True,,1893
20260507T110646Z_C09_foundry:qwen2.5-coder-0.5b:cpu,C09,Move the tray to the right zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,2318
20260507T110646Z_C10_foundry:qwen2.5-coder-0.5b:cpu,C10,Pick up the gauze pack and place it on the tray,multi_step,clear,EXECUTE_EXACT,foundry:qwen2.5-coder-0.5b:cpu,True,1.0,exact_match,True,False,uncertain_or_low_confidence,2951
20260507T110646Z_C11_foundry:qwen2.5-coder-0.5b:cpu,C11,Move the medicine cup to the safe area,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2387
20260507T110646Z_C12_foundry:qwen2.5-coder-0.5b:cpu,C12,Place the pill box near the handover zone,zone_placement,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,semantic_mismatch,True,False,semantic_mismatch,2472
20260507T110646Z_C13_foundry:qwen2.5-coder-0.5b:cpu,C13,Take the correct one from the tray,object_selection,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2346
20260507T110646Z_C14_foundry:qwen2.5-coder-0.5b:cpu,C14,Put the gauze pack in the usual place,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2460
20260507T110646Z_C15_foundry:qwen2.5-coder-0.5b:cpu,C15,Hand over the medicine cup,handover,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,semantic_mismatch,True,False,semantic_mismatch,2372
20260507T110646Z_C16_foundry:qwen2.5-coder-0.5b:cpu,C16,Move the pill box a bit to the left zone,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2619
20260507T110646Z_C17_foundry:qwen2.5-coder-0.5b:cpu,C17,Pick up the cup on the tray,object_manipulation,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,semantic_mismatch,True,False,semantic_mismatch,2462
20260507T110646Z_C18_foundry:qwen2.5-coder-0.5b:cpu,C18,Get this ready for handover,task_level,moderate,REJECT_UNSUPPORTED,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2351
20260507T110646Z_C19_foundry:qwen2.5-coder-0.5b:cpu,C19,Place the medicine cup in the safe area if available,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2347
20260507T110646Z_C20_foundry:qwen2.5-coder-0.5b:cpu,C20,Transfer the gauze pack to a nearby tray,object_manipulation,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2461
20260507T110646Z_C21_foundry:qwen2.5-coder-0.5b:cpu,C21,Pick that,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2434
20260507T110646Z_C22_foundry:qwen2.5-coder-0.5b:cpu,C22,Move it there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2356
20260507T110646Z_C23_foundry:qwen2.5-coder-0.5b:cpu,C23,Sort this out,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-coder-0.5b:cpu,False,1.0,correct_reject,True,False,parse_error,2280
20260507T110646Z_C24_foundry:qwen2.5-coder-0.5b:cpu,C24,Get this ready,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-coder-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2092
20260507T110646Z_C25_foundry:qwen2.5-coder-0.5b:cpu,C25,Put it over there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2353
20260507T110646Z_C26_foundry:qwen2.5-coder-0.5b:cpu,C26,Move somewhere safe,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2339
20260507T110646Z_C27_foundry:qwen2.5-coder-0.5b:cpu,C27,Choose the correct one,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2368
20260507T110646Z_C28_foundry:qwen2.5-coder-0.5b:cpu,C28,Do it properly,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2116
20260507T110646Z_C29_foundry:qwen2.5-coder-0.5b:cpu,C29,Move over,motion,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2380
20260507T110646Z_C30_foundry:qwen2.5-coder-0.5b:cpu,C30,Place it in the safe area,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-coder-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,2379
